County,Precinct,Precinct ID,David Anderson,Kumar Barve,Dan Bolling,Ana Gutierrez,William Jawando,Kathleen Matthews,Jamie Raskin,Joel Rubin,David Trone
Frederick,1801,018-001,7,6,7,16,1,91,44,5,169
Frederick,1802,018-002,3,8,3,7,2,45,22,4,121
Frederick,1803,018-003,7,3,2,1,0,50,18,0,80
Frederick,1901,019-001,0,0,1,6,2,28,16,2,55
Frederick,2001,020-001,7,2,2,3,5,56,14,6,116
Frederick,2101,021-001,7,6,6,2,1,49,26,1,102
Frederick,2102,021-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2103,021-003,4,3,2,6,3,48,24,4,88
Frederick,2104,021-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2107,021-007,1,2,4,2,1,20,10,0,42
Frederick,2108,021-008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2201,022-001,5,4,2,7,2,37,28,6,74
Frederick,2202,022-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2301,023-001,17,7,9,33,19,122,72,9,319
Frederick,2302,023-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2401,024-001,8,5,3,5,3,59,36,6,154
Frederick,2402,024-002,5,4,1,6,3,32,26,3,44
Frederick,2403,024-003,4,2,0,6,2,40,18,2,36
Frederick,2404,024-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2405,024-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2406,024-006,0,0,0,0,0,0,0,0,1
Frederick,2501,025-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,2601,026-001,11,7,3,13,6,102,60,1,297
Frederick,2602,026-002,16,2,2,11,3,83,34,2,213
Frederick,6001,,0,0,0,0,0,0,0,0,0
Frederick,6002,,0,0,0,0,0,0,0,0,0
Frederick,6003,,0,0,0,0,0,0,0,0,0
Frederick,7000,,0,0,0,0,0,0,0,0,0
Frederick,7500,,0,0,0,0,0,0,0,0,0
Frederick,8000,,0,0,0,0,0,0,0,0,0
Montgomery,101,001-001,1,6,6,11,8,82,35,2,91
Montgomery,102,001-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,103,001-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,104,001-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,105,001-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,106,001-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,107,001-007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,201,002-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,202,002-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,203,002-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,204,002-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,205,002-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,206,002-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,207,002-007,0,0,0,0,0,2,1,0,2
Montgomery,208,002-008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,209,002-009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,210,002-010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,211,002-011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,301,003-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,302,003-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,401,004-001,11,85,4,58,27,133,132,4,260
Montgomery,402,004-002,3,65,0,25,11,187,178,5,152
Montgomery,403,004-003,9,136,5,31,23,202,258,14,219
Montgomery,404,004-004,1,11,0,35,31,134,167,4,124
Montgomery,405,004-005,7,32,2,36,12,118,126,6,138
Montgomery,406,004-006,5,40,6,56,4,96,96,3,133
Montgomery,407,004-007,6,56,1,72,11,88,122,3,139
Montgomery,408,004-008,4,66,1,45,25,294,384,11,192
Montgomery,409,004-009,7,38,6,35,5,73,76,6,126
Montgomery,410,004-010,6,8,3,14,18,183,192,3,135
Montgomery,411,004-011,1,6,0,2,0,26,28,1,18
Montgomery,412,004-012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,413,004-013,3,17,6,9,15,200,255,5,154
Montgomery,414,004-014,11,71,2,26,14,184,177,10,196
Montgomery,415,004-015,5,2,2,44,4,42,62,1,90
Montgomery,416,004-016,8,64,3,19,17,236,166,10,220
Montgomery,417,004-017,5,10,2,20,20,188,202,7,136
Montgomery,418,004-018,4,8,3,14,15,209,265,7,174
Montgomery,419,004-019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,420,004-020,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,421,004-021,5,75,1,11,10,165,209,8,177
Montgomery,423,004-023,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,424,004-024,9,54,1,14,5,113,67,6,167
Montgomery,425,004-025,2,19,1,10,7,117,97,4,122
Montgomery,426,004-026,8,11,6,59,13,90,80,4,139
Montgomery,427,004-027,1,2,0,16,6,13,19,0,34
Montgomery,428,004-028,6,3,3,10,10,43,80,6,74
Montgomery,429,004-029,0,14,3,4,2,32,26,0,64
Montgomery,430,004-030,1,20,5,18,7,122,159,6,143
Montgomery,431,004-031,7,18,3,38,11,163,200,8,140
Montgomery,432,004-032,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,433,004-033,0,0,0,0,0,2,1,0,0
Montgomery,434,004-034,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,435,004-035,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,437,004-037,0,1,0,3,1,8,15,0,10
Montgomery,438,004-038,0,2,0,2,1,2,3,0,3
Montgomery,440,004-040,0,1,0,3,0,1,1,0,11
Montgomery,442,004-042,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,443,004-043,0,0,0,0,0,0,0,0,1
Montgomery,501,005-001,3,11,5,45,89,139,112,2,256
Montgomery,502,005-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,503,005-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,504,005-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,505,005-005,9,5,2,20,83,89,163,3,116
Montgomery,506,005-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,508,005-008,14,8,1,66,100,148,98,5,227
Montgomery,509,005-009,7,35,6,29,104,199,239,9,217
Montgomery,510,005-010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,511,005-011,6,11,2,38,101,80,140,3,149
Montgomery,512,005-012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,513,005-013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,514,005-014,4,3,4,89,15,38,89,1,96
Montgomery,515,005-015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,516,005-016,7,19,6,33,123,189,190,6,236
Montgomery,517,005-017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,518,005-018,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,519,005-019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,521,005-021,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,522,005-022,0,6,2,20,26,60,152,4,96
Montgomery,523,005-023,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,601,006-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,602,006-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,603,006-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,604,006-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,605,006-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,606,006-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,607,006-007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,608,006-008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,609,006-009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,610,006-010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,611,006-011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,613,006-013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,614,006-014,5,13,6,9,5,57,49,8,85
Montgomery,615,006-015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,701,007-001,1,4,4,14,11,115,182,3,75
Montgomery,702,007-002,1,1,0,10,9,213,295,4,65
Montgomery,703,007-003,4,10,1,18,22,290,377,6,179
Montgomery,704,007-004,3,11,1,25,23,313,353,19,159
Montgomery,705,007-005,1,6,0,34,20,185,321,5,68
Montgomery,706,007-006,2,5,0,6,18,164,228,32,46
Montgomery,707,007-007,3,3,2,11,19,175,291,2,84
Montgomery,708,007-008,2,7,8,29,21,156,242,12,139
Montgomery,709,007-009,3,11,0,17,12,215,257,4,108
Montgomery,710,007-010,5,11,3,17,22,202,352,11,138
Montgomery,711,007-011,2,8,0,17,10,273,493,13,120
Montgomery,712,007-012,2,10,1,16,9,259,340,5,129
Montgomery,713,007-013,3,0,3,12,19,334,335,7,98
Montgomery,715,007-015,6,14,0,10,14,273,378,10,160
Montgomery,716,007-016,1,11,2,23,21,207,249,6,97
Montgomery,718,007-018,1,10,2,8,15,267,392,3,86
Montgomery,719,007-019,6,21,3,14,32,341,510,9,204
Montgomery,720,007-020,1,9,3,19,12,213,215,6,130
Montgomery,721,007-021,1,2,0,13,6,146,143,0,46
Montgomery,722,007-022,1,13,6,13,8,218,360,5,87
Montgomery,723,007-023,8,18,2,23,24,371,405,12,207
Montgomery,724,007-024,3,2,2,8,3,266,270,6,116
Montgomery,725,007-025,4,22,4,13,14,192,188,5,135
Montgomery,726,007-026,3,14,2,26,15,332,393,14,171
Montgomery,727,007-027,4,10,0,3,5,191,204,6,72
Montgomery,728,007-028,5,15,2,7,11,167,175,3,81
Montgomery,731,007-031,4,7,1,13,8,112,94,2,70
Montgomery,732,007-032,2,6,0,13,6,107,84,4,52
Montgomery,801,008-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,802,008-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,803,008-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,804,008-004,4,10,0,11,4,104,28,0,94
Montgomery,805,008-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,806,008-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,807,008-007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,808,008-008,7,15,6,22,15,154,140,2,192
Montgomery,809,008-009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,810,008-010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,811,008-011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,812,008-012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,814,008-014,0,0,0,0,0,0,0,0,0
Montgomery,815,008-015,1,0,0,1,0,4,10,1,13
Montgomery,901,009-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,902,009-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,903,009-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,904,009-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,905,009-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,906,009-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,907,009-007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,908,009-008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,909,009-009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,910,009-010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,911,009-011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,912,009-012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,913,009-013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,914,009-014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,915,009-015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,916,009-016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,918,009-018,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,920,009-020,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,921,009-021,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,922,009-022,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,924,009-024,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,925,009-025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,926,009-026,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,927,009-027,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,928,009-028,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,929,009-029,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,930,009-030,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,931,009-031,5,32,4,17,14,132,167,5,144
Montgomery,932,009-032,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,933,009-033,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,934,009-034,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,935,009-035,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,936,009-036,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,937,009-037,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,938,009-038,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,939,009-039,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,940,009-040,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,941,009-041,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1001,010-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1002,010-002,1,14,0,8,8,107,87,4,141
Montgomery,1003,010-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1004,010-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1005,010-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1006,010-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1007,010-007,4,9,2,11,17,159,239,4,147
Montgomery,1009,010-009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1010,010-010,2,13,2,7,2,186,166,5,170
Montgomery,1011,010-011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1012,010-012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1013,010-013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1100,011-000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1201,012-001,9,2,3,18,3,63,23,2,100
Montgomery,1202,012-002,4,5,12,14,3,62,36,3,114
Montgomery,1203,012-003,11,13,2,25,6,151,99,5,193
Montgomery,1204,012-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1205,012-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1301,013-001,1,9,0,32,37,103,107,7,143
Montgomery,1302,013-002,7,20,2,63,175,188,161,9,299
Montgomery,1303,013-003,1,14,3,19,21,164,278,7,112
Montgomery,1304,013-004,0,6,1,24,88,56,682,8,70
Montgomery,1305,013-005,5,8,1,32,113,80,296,4,112
Montgomery,1306,013-006,1,4,3,33,56,79,695,3,69
Montgomery,1307,013-007,1,26,2,27,41,187,416,12,128
Montgomery,1308,013-008,11,8,2,28,68,40,383,7,102
Montgomery,1310,013-010,7,11,5,26,63,66,134,6,93
Montgomery,1311,013-011,2,8,2,65,56,216,285,3,194
Montgomery,1313,013-013,7,12,2,44,54,79,312,4,99
Montgomery,1314,013-014,5,9,1,25,90,109,442,5,103
Montgomery,1315,013-015,10,8,8,101,87,121,415,10,192
Montgomery,1316,013-016,9,8,2,79,26,97,253,5,108
Montgomery,1318,013-018,1,5,0,57,32,73,421,8,94
Montgomery,1319,013-019,7,4,2,48,71,121,283,4,105
Montgomery,1320,013-020,7,8,1,11,9,63,169,6,124
Montgomery,1321,013-021,6,0,3,43,56,81,580,4,117
Montgomery,1322,013-022,10,4,4,118,57,77,271,7,144
Montgomery,1323,013-023,2,3,3,28,34,167,428,1,134
Montgomery,1324,013-024,1,20,0,43,18,157,303,5,114
Montgomery,1325,013-025,8,8,2,138,13,110,114,3,182
Montgomery,1327,013-027,2,8,0,105,25,153,197,3,157
Montgomery,1328,013-028,7,9,2,103,9,47,48,1,90
Montgomery,1329,013-029,10,2,2,154,42,101,106,1,160
Montgomery,1330,013-030,10,6,1,217,26,77,61,1,126
Montgomery,1331,013-031,6,3,0,66,26,107,180,5,115
Montgomery,1332,013-032,8,12,1,89,52,117,182,4,164
Montgomery,1333,013-033,10,8,3,31,14,107,124,10,125
Montgomery,1334,013-034,2,13,5,36,28,165,296,3,131
Montgomery,1335,013-035,10,8,1,148,14,89,60,3,214
Montgomery,1336,013-036,5,1,2,166,14,63,73,3,178
Montgomery,1337,013-037,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1338,013-038,10,21,1,36,48,317,474,19,206
Montgomery,1339,013-039,3,10,2,21,47,171,348,5,114
Montgomery,1340,013-040,5,17,2,47,19,130,219,2,151
Montgomery,1342,013-042,4,5,0,50,15,53,153,3,110
Montgomery,1343,013-043,7,6,4,86,12,81,40,3,144
Montgomery,1344,013-044,6,9,0,55,37,101,165,7,119
Montgomery,1345,013-045,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1346,013-046,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1347,013-047,9,14,3,45,97,120,294,14,147
Montgomery,1349,013-049,3,5,2,26,36,63,31,0,81
Montgomery,1350,013-050,2,4,1,12,51,80,389,5,83
Montgomery,1351,013-051,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1352,013-052,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1353,013-053,1,3,1,43,18,92,139,4,111
Montgomery,1354,013-054,3,5,2,15,53,184,128,9,172
Montgomery,1355,013-055,9,4,3,49,20,67,19,0,144
Montgomery,1356,013-056,5,4,5,69,49,143,93,7,220
Montgomery,1357,013-057,9,4,0,20,10,50,33,5,61
Montgomery,1358,013-058,9,18,1,76,75,229,343,17,205
Montgomery,1359,013-059,6,4,3,35,23,78,166,4,106
Montgomery,1360,013-060,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,1361,013-061,9,12,3,74,81,184,158,2,313
Montgomery,1363,013-063,6,6,1,19,11,33,68,1,63
Montgomery,1364,013-064,11,6,0,104,33,101,67,1,226
Montgomery,1365,013-065,4,6,4,29,34,55,137,3,80
Montgomery,1368,013-068,8,10,2,56,82,105,772,6,159
Montgomery,1369,013-069,2,9,1,12,39,233,163,8,187
Montgomery,1370,013-070,4,0,0,4,0,9,5,0,13
Montgomery,1371,013-071,4,7,1,8,26,144,150,4,125
Montgomery,6001,,0,0,0,0,0,0,0,0,0
Montgomery,6002,,0,0,0,0,0,0,0,0,0
Montgomery,6003,,1,1,0,6,2,44,19,0,23
Montgomery,6004,,0,0,0,0,0,0,0,0,0
Montgomery,6005,,0,0,0,0,0,0,0,0,0
Montgomery,6006,,0,0,0,0,0,0,0,0,0
Montgomery,6007,,0,0,0,0,0,0,0,0,0
Montgomery,6008,,0,0,0,0,0,0,0,0,0
Montgomery,6009,,0,0,0,0,0,0,0,0,0
Montgomery,6010,,0,0,0,0,0,0,0,0,0
Montgomery,7000,,0,0,0,0,0,0,0,0,0
Montgomery,7500,,0,0,0,0,0,0,0,0,0
Montgomery,8000,,0,0,0,0,0,0,0,0,0
